model,task,level,l1,resource_type,layer,n_items,majority,rand_acc,selectivity,delta,expected_layer,acc_mean,acc_std,f1_mean,f1_std
rubert,sent_len_bin,sent,random_baseline,n/a,12,25483,0.4163,0.3914,0.0,0.0,-1.0,0.3914,0.0018,0.3199,0.0009
rubert,sent_len_bin,sent,arabic,n/a,0,1152,0.4163,0.3914,0.3863,0.7778,0.2936,0.7778,0.0149,0.7745,0.0154
rubert,sent_len_bin,sent,bulgarian,n/a,0,758,0.4163,0.3914,0.3659,0.7573,0.1556,0.7573,0.018,0.7515,0.0211
rubert,sent_len_bin,sent,chinese,n/a,0,2261,0.4163,0.3914,0.3436,0.7351,0.2234,0.7351,0.0033,0.7348,0.0059
rubert,sent_len_bin,sent,english,n/a,0,2935,0.4163,0.3914,0.3721,0.7635,0.2464,0.7635,0.0076,0.7543,0.0062
rubert,sent_len_bin,sent,finnish,n/a,0,2695,0.4163,0.3914,0.3459,0.7373,0.2287,0.7373,0.0136,0.7068,0.0152
rubert,sent_len_bin,sent,french,n/a,0,2187,0.4163,0.3914,0.3264,0.7179,0.1799,0.7179,0.0131,0.7108,0.0129
rubert,sent_len_bin,sent,german,n/a,0,1504,0.4163,0.3914,0.3526,0.744,0.1779,0.744,0.011,0.729,0.0082
rubert,sent_len_bin,sent,hindi,n/a,0,322,0.4163,0.3914,0.3509,0.7423,0.3096,0.7423,0.0147,0.7473,0.0146
rubert,sent_len_bin,sent,hungarian,n/a,0,217,0.4163,0.3914,0.2999,0.6913,1.0989,0.6913,0.0317,0.6679,0.034
rubert,sent_len_bin,sent,italian,n/a,0,1501,0.4163,0.3914,0.3747,0.7662,0.2691,0.7662,0.0041,0.7265,0.0043
rubert,sent_len_bin,sent,japonese,n/a,0,1320,0.4163,0.3914,0.3722,0.7636,0.2268,0.7636,0.0103,0.7666,0.0132
rubert,sent_len_bin,sent,kazah,n/a,0,2276,0.4163,0.3914,0.3665,0.7579,0.1993,0.7579,0.016,0.7551,0.0147
rubert,sent_len_bin,sent,korean,n/a,0,2175,0.4163,0.3914,0.3663,0.7577,0.2361,0.7577,0.0142,0.7519,0.0147
rubert,sent_len_bin,sent,norwegian,n/a,0,849,0.4163,0.3914,0.3612,0.7527,0.3109,0.7527,0.035,0.7572,0.0336
rubert,sent_len_bin,sent,pushtu,n/a,0,293,0.4163,0.3914,0.3902,0.7816,0.2221,0.7816,0.0164,0.7821,0.0177
rubert,sent_len_bin,sent,swedish,n/a,0,1888,0.4163,0.3914,0.3575,0.7489,0.0845,0.7489,0.0109,0.7554,0.0109
rubert,sent_len_bin,sent,thai,n/a,0,318,0.4163,0.3914,0.3067,0.6981,0.5167,0.6981,0.0469,0.6909,0.0485
rubert,sent_len_bin,sent,сzech,n/a,0,832,0.4163,0.3914,0.4115,0.8029,0.2444,0.8029,0.0287,0.6312,0.0513
rubert,sent_len_bin,sent,resource_high,high,0,19199,0.4163,0.3914,0.4035,0.7949,0.0997,0.7949,0.0028,0.7934,0.0025
rubert,sent_len_bin,sent,resource_low,low,0,6284,0.4163,0.3914,0.3649,0.7564,0.2727,0.7564,0.0031,0.7468,0.0069
rubert,sent_len_bin,sent,arabic,n/a,1,1152,0.4163,0.3914,0.3976,0.0113,0.2936,0.7891,0.0056,0.7881,0.0066
rubert,sent_len_bin,sent,bulgarian,n/a,1,758,0.4163,0.3914,0.3724,0.0066,0.1556,0.7639,0.013,0.7605,0.0105
rubert,sent_len_bin,sent,chinese,n/a,1,2261,0.4163,0.3914,0.3534,0.0097,0.2234,0.7448,0.0095,0.7465,0.0116
rubert,sent_len_bin,sent,english,n/a,1,2935,0.4163,0.3914,0.3728,0.0007,0.2464,0.7642,0.0076,0.7539,0.0038
rubert,sent_len_bin,sent,finnish,n/a,1,2695,0.4163,0.3914,0.3455,-0.0004,0.2287,0.7369,0.0181,0.7015,0.0128
rubert,sent_len_bin,sent,french,n/a,1,2187,0.4163,0.3914,0.3182,-0.0082,0.1799,0.7096,0.0188,0.7044,0.017
rubert,sent_len_bin,sent,german,n/a,1,1504,0.4163,0.3914,0.3566,0.004,0.1779,0.748,0.0155,0.7391,0.0172
rubert,sent_len_bin,sent,hindi,n/a,1,322,0.4163,0.3914,0.3539,0.0031,0.3096,0.7454,0.0307,0.7463,0.0252
rubert,sent_len_bin,sent,hungarian,n/a,1,217,0.4163,0.3914,0.2951,-0.0048,1.0989,0.6866,0.0242,0.6824,0.021
rubert,sent_len_bin,sent,italian,n/a,1,1501,0.4163,0.3914,0.3834,0.0087,0.2691,0.7748,0.002,0.7408,0.0028
rubert,sent_len_bin,sent,japonese,n/a,1,1320,0.4163,0.3914,0.3661,-0.0061,0.2268,0.7576,0.0057,0.7613,0.0078
rubert,sent_len_bin,sent,kazah,n/a,1,2276,0.4163,0.3914,0.3647,-0.0018,0.1993,0.7562,0.0144,0.7542,0.0136
rubert,sent_len_bin,sent,korean,n/a,1,2175,0.4163,0.3914,0.3686,0.0023,0.2361,0.76,0.0125,0.7558,0.0141
rubert,sent_len_bin,sent,norwegian,n/a,1,849,0.4163,0.3914,0.3742,0.013,0.3109,0.7656,0.0233,0.7697,0.0218
rubert,sent_len_bin,sent,pushtu,n/a,1,293,0.4163,0.3914,0.4004,0.0102,0.2221,0.7919,0.0087,0.7919,0.0126
rubert,sent_len_bin,sent,swedish,n/a,1,1888,0.4163,0.3914,0.3628,0.0053,0.0845,0.7542,0.0096,0.7604,0.0091
rubert,sent_len_bin,sent,thai,n/a,1,318,0.4163,0.3914,0.291,-0.0157,0.5167,0.6824,0.0501,0.6772,0.0509
rubert,sent_len_bin,sent,сzech,n/a,1,832,0.4163,0.3914,0.4175,0.006,0.2444,0.8089,0.0287,0.6578,0.0555
rubert,sent_len_bin,sent,resource_high,high,1,19199,0.4163,0.3914,0.4089,0.0054,0.0997,0.8003,0.0048,0.7992,0.0048
rubert,sent_len_bin,sent,resource_low,low,1,6284,0.4163,0.3914,0.3699,0.0049,0.2727,0.7613,0.0011,0.753,0.0029
rubert,sent_len_bin,sent,arabic,n/a,2,1152,0.4163,0.3914,0.4133,0.0156,0.2936,0.8047,0.011,0.804,0.0119
rubert,sent_len_bin,sent,bulgarian,n/a,2,758,0.4163,0.3914,0.3803,0.0079,0.1556,0.7718,0.005,0.7704,0.0046
rubert,sent_len_bin,sent,chinese,n/a,2,2261,0.4163,0.3914,0.3653,0.0119,0.2234,0.7567,0.007,0.7581,0.0085
rubert,sent_len_bin,sent,english,n/a,2,2935,0.4163,0.3914,0.3851,0.0123,0.2464,0.7765,0.0048,0.7661,0.0088
rubert,sent_len_bin,sent,finnish,n/a,2,2695,0.4163,0.3914,0.3629,0.0174,0.2287,0.7544,0.0088,0.7164,0.0107
rubert,sent_len_bin,sent,french,n/a,2,2187,0.4163,0.3914,0.3434,0.0251,0.1799,0.7348,0.0112,0.7307,0.0093
rubert,sent_len_bin,sent,german,n/a,2,1504,0.4163,0.3914,0.3652,0.0086,0.1779,0.7566,0.0045,0.7475,0.0071
rubert,sent_len_bin,sent,hindi,n/a,2,322,0.4163,0.3914,0.3476,-0.0063,0.3096,0.739,0.0357,0.743,0.0375
rubert,sent_len_bin,sent,hungarian,n/a,2,217,0.4163,0.3914,0.323,0.0278,1.0989,0.7144,0.0352,0.7107,0.0356
rubert,sent_len_bin,sent,italian,n/a,2,1501,0.4163,0.3914,0.396,0.0127,0.2691,0.7875,0.0039,0.7588,0.0065
rubert,sent_len_bin,sent,japonese,n/a,2,1320,0.4163,0.3914,0.376,0.0098,0.2268,0.7674,0.0077,0.771,0.0076
rubert,sent_len_bin,sent,kazah,n/a,2,2276,0.4163,0.3914,0.3845,0.0198,0.1993,0.7759,0.0214,0.7722,0.0213
rubert,sent_len_bin,sent,korean,n/a,2,2175,0.4163,0.3914,0.3897,0.0211,0.2361,0.7811,0.0101,0.7771,0.0087
rubert,sent_len_bin,sent,norwegian,n/a,2,849,0.4163,0.3914,0.3918,0.0177,0.3109,0.7833,0.0188,0.7879,0.0175
rubert,sent_len_bin,sent,pushtu,n/a,2,293,0.4163,0.3914,0.4173,0.0169,0.2221,0.8088,0.0218,0.8056,0.0251
rubert,sent_len_bin,sent,swedish,n/a,2,1888,0.4163,0.3914,0.3681,0.0053,0.0845,0.7595,0.0052,0.7659,0.005
rubert,sent_len_bin,sent,thai,n/a,2,318,0.4163,0.3914,0.3035,0.0126,0.5167,0.695,0.0248,0.6927,0.0267
rubert,sent_len_bin,sent,сzech,n/a,2,832,0.4163,0.3914,0.4343,0.0168,0.2444,0.8258,0.0297,0.7069,0.0454
rubert,sent_len_bin,sent,resource_high,high,2,19199,0.4163,0.3914,0.4152,0.0064,0.0997,0.8067,0.0036,0.8052,0.004
rubert,sent_len_bin,sent,resource_low,low,2,6284,0.4163,0.3914,0.3805,0.0107,0.2727,0.772,0.004,0.7628,0.003
rubert,sent_len_bin,sent,arabic,n/a,3,1152,0.4163,0.3914,0.4115,-0.0017,0.2936,0.803,0.0065,0.8027,0.0059
rubert,sent_len_bin,sent,bulgarian,n/a,3,758,0.4163,0.3914,0.3856,0.0053,0.1556,0.777,0.0049,0.7796,0.0072
rubert,sent_len_bin,sent,chinese,n/a,3,2261,0.4163,0.3914,0.3671,0.0018,0.2234,0.7585,0.0067,0.7594,0.0077
rubert,sent_len_bin,sent,english,n/a,3,2935,0.4163,0.3914,0.3854,0.0003,0.2464,0.7768,0.007,0.7674,0.0129
rubert,sent_len_bin,sent,finnish,n/a,3,2695,0.4163,0.3914,0.3718,0.0089,0.2287,0.7633,0.0128,0.7336,0.0171
rubert,sent_len_bin,sent,french,n/a,3,2187,0.4163,0.3914,0.3484,0.005,0.1799,0.7398,0.0064,0.7363,0.0062
rubert,sent_len_bin,sent,german,n/a,3,1504,0.4163,0.3914,0.3719,0.0067,0.1779,0.7633,0.0017,0.7561,0.0052
rubert,sent_len_bin,sent,hindi,n/a,3,322,0.4163,0.3914,0.3538,0.0063,0.3096,0.7453,0.02,0.7499,0.0223
rubert,sent_len_bin,sent,hungarian,n/a,3,217,0.4163,0.3914,0.3643,0.0413,1.0989,0.7557,0.0241,0.7495,0.0226
rubert,sent_len_bin,sent,italian,n/a,3,1501,0.4163,0.3914,0.398,0.002,0.2691,0.7895,0.0078,0.7555,0.0126
rubert,sent_len_bin,sent,japonese,n/a,3,1320,0.4163,0.3914,0.3843,0.0083,0.2268,0.7758,0.0092,0.7796,0.0064
rubert,sent_len_bin,sent,kazah,n/a,3,2276,0.4163,0.3914,0.3836,-0.0009,0.1993,0.775,0.0127,0.773,0.0113
rubert,sent_len_bin,sent,korean,n/a,3,2175,0.4163,0.3914,0.3796,-0.0101,0.2361,0.771,0.009,0.767,0.0092
rubert,sent_len_bin,sent,norwegian,n/a,3,849,0.4163,0.3914,0.393,0.0012,0.3109,0.7845,0.0264,0.7894,0.025
rubert,sent_len_bin,sent,pushtu,n/a,3,293,0.4163,0.3914,0.4208,0.0035,0.2221,0.8123,0.0101,0.8105,0.0129
rubert,sent_len_bin,sent,swedish,n/a,3,1888,0.4163,0.3914,0.3729,0.0048,0.0845,0.7643,0.0193,0.7707,0.0184
rubert,sent_len_bin,sent,thai,n/a,3,318,0.4163,0.3914,0.3004,-0.0031,0.5167,0.6918,0.038,0.69,0.0352
rubert,sent_len_bin,sent,сzech,n/a,3,832,0.4163,0.3914,0.4415,0.0072,0.2444,0.833,0.0197,0.7068,0.0248
rubert,sent_len_bin,sent,resource_high,high,3,19199,0.4163,0.3914,0.4188,0.0035,0.0997,0.8102,0.0016,0.8094,0.0015
rubert,sent_len_bin,sent,resource_low,low,3,6284,0.4163,0.3914,0.3958,0.0153,0.2727,0.7872,0.0075,0.7774,0.0077
rubert,sent_len_bin,sent,arabic,n/a,4,1152,0.4163,0.3914,0.4063,-0.0052,0.2936,0.7977,0.0012,0.7975,0.0038
rubert,sent_len_bin,sent,bulgarian,n/a,4,758,0.4163,0.3914,0.3935,0.0079,0.1556,0.785,0.0184,0.7829,0.0215
rubert,sent_len_bin,sent,chinese,n/a,4,2261,0.4163,0.3914,0.3777,0.0106,0.2234,0.7691,0.0067,0.7706,0.007
rubert,sent_len_bin,sent,english,n/a,4,2935,0.4163,0.3914,0.3803,-0.0051,0.2464,0.7717,0.0063,0.7614,0.0093
rubert,sent_len_bin,sent,finnish,n/a,4,2695,0.4163,0.3914,0.3744,0.0026,0.2287,0.7659,0.0172,0.7357,0.0259
rubert,sent_len_bin,sent,french,n/a,4,2187,0.4163,0.3914,0.3552,0.0069,0.1799,0.7467,0.0076,0.7432,0.0056
rubert,sent_len_bin,sent,german,n/a,4,1504,0.4163,0.3914,0.3772,0.0053,0.1779,0.7686,0.0089,0.7609,0.0074
rubert,sent_len_bin,sent,hindi,n/a,4,322,0.4163,0.3914,0.3849,0.0311,0.3096,0.7763,0.016,0.7787,0.0187
rubert,sent_len_bin,sent,hungarian,n/a,4,217,0.4163,0.3914,0.3275,-0.0368,1.0989,0.7189,0.0232,0.7148,0.0193
rubert,sent_len_bin,sent,italian,n/a,4,1501,0.4163,0.3914,0.392,-0.006,0.2691,0.7835,0.0094,0.7474,0.0156
rubert,sent_len_bin,sent,japonese,n/a,4,1320,0.4163,0.3914,0.3805,-0.0038,0.2268,0.772,0.0021,0.7752,0.0031
rubert,sent_len_bin,sent,kazah,n/a,4,2276,0.4163,0.3914,0.3942,0.0105,0.1993,0.7856,0.0097,0.782,0.0073
rubert,sent_len_bin,sent,korean,n/a,4,2175,0.4163,0.3914,0.3879,0.0083,0.2361,0.7793,0.0039,0.7753,0.0039
rubert,sent_len_bin,sent,norwegian,n/a,4,849,0.4163,0.3914,0.3824,-0.0106,0.3109,0.7739,0.018,0.7785,0.017
rubert,sent_len_bin,sent,pushtu,n/a,4,293,0.4163,0.3914,0.4482,0.0274,0.2221,0.8397,0.025,0.8367,0.029
rubert,sent_len_bin,sent,swedish,n/a,4,1888,0.4163,0.3914,0.3761,0.0032,0.0845,0.7675,0.0187,0.7736,0.0179
rubert,sent_len_bin,sent,thai,n/a,4,318,0.4163,0.3914,0.2941,-0.0063,0.5167,0.6855,0.0495,0.6811,0.0471
rubert,sent_len_bin,sent,сzech,n/a,4,832,0.4163,0.3914,0.4584,0.0168,0.2444,0.8498,0.0237,0.7084,0.0356
rubert,sent_len_bin,sent,resource_high,high,4,19199,0.4163,0.3914,0.4194,0.0006,0.0997,0.8108,0.0039,0.8102,0.0039
rubert,sent_len_bin,sent,resource_low,low,4,6284,0.4163,0.3914,0.391,-0.0048,0.2727,0.7825,0.0064,0.7719,0.0078
rubert,sent_len_bin,sent,arabic,n/a,5,1152,0.4163,0.3914,0.4133,0.0069,0.2936,0.8047,0.0064,0.8041,0.006
rubert,sent_len_bin,sent,bulgarian,n/a,5,758,0.4163,0.3914,0.3935,-0.0,0.1556,0.7849,0.0102,0.7827,0.009
rubert,sent_len_bin,sent,chinese,n/a,5,2261,0.4163,0.3914,0.3741,-0.0035,0.2234,0.7656,0.0126,0.7665,0.0137
rubert,sent_len_bin,sent,english,n/a,5,2935,0.4163,0.3914,0.3963,0.016,0.2464,0.7877,0.0085,0.7784,0.0093
rubert,sent_len_bin,sent,finnish,n/a,5,2695,0.4163,0.3914,0.367,-0.0074,0.2287,0.7584,0.0061,0.733,0.0065
rubert,sent_len_bin,sent,french,n/a,5,2187,0.4163,0.3914,0.3616,0.0064,0.1799,0.7531,0.0068,0.7506,0.0082
rubert,sent_len_bin,sent,german,n/a,5,1504,0.4163,0.3914,0.3865,0.0093,0.1779,0.7779,0.0066,0.7673,0.0083
rubert,sent_len_bin,sent,hindi,n/a,5,322,0.4163,0.3914,0.3881,0.0032,0.3096,0.7795,0.0109,0.7821,0.0098
rubert,sent_len_bin,sent,hungarian,n/a,5,217,0.4163,0.3914,0.3873,0.0598,1.0989,0.7787,0.0125,0.771,0.0078
rubert,sent_len_bin,sent,italian,n/a,5,1501,0.4163,0.3914,0.402,0.01,0.2691,0.7935,0.0066,0.7628,0.0086
rubert,sent_len_bin,sent,japonese,n/a,5,1320,0.4163,0.3914,0.376,-0.0045,0.2268,0.7674,0.006,0.77,0.0041
rubert,sent_len_bin,sent,kazah,n/a,5,2276,0.4163,0.3914,0.4056,0.0114,0.1993,0.797,0.0173,0.7959,0.0165
rubert,sent_len_bin,sent,korean,n/a,5,2175,0.4163,0.3914,0.3916,0.0037,0.2361,0.783,0.0066,0.7786,0.0104
rubert,sent_len_bin,sent,norwegian,n/a,5,849,0.4163,0.3914,0.3742,-0.0082,0.3109,0.7656,0.0213,0.7709,0.0218
rubert,sent_len_bin,sent,pushtu,n/a,5,293,0.4163,0.3914,0.4448,-0.0034,0.2221,0.8363,0.0244,0.834,0.0261
rubert,sent_len_bin,sent,swedish,n/a,5,1888,0.4163,0.3914,0.376,-0.0,0.0845,0.7675,0.0094,0.7738,0.0093
rubert,sent_len_bin,sent,thai,n/a,5,318,0.4163,0.3914,0.2847,-0.0094,0.5167,0.6761,0.0438,0.6753,0.0446
rubert,sent_len_bin,sent,сzech,n/a,5,832,0.4163,0.3914,0.4572,-0.0012,0.2444,0.8486,0.0227,0.7014,0.0298
rubert,sent_len_bin,sent,resource_high,high,5,19199,0.4163,0.3914,0.4279,0.0085,0.0997,0.8194,0.0018,0.8186,0.0022
rubert,sent_len_bin,sent,resource_low,low,5,6284,0.4163,0.3914,0.395,0.004,0.2727,0.7864,0.0014,0.7785,0.0027
rubert,sent_len_bin,sent,arabic,n/a,6,1152,0.4163,0.3914,0.4193,0.0061,0.2936,0.8108,0.0192,0.8078,0.0193
rubert,sent_len_bin,sent,bulgarian,n/a,6,758,0.4163,0.3914,0.3935,0.0,0.1556,0.785,0.0033,0.7814,0.008
rubert,sent_len_bin,sent,chinese,n/a,6,2261,0.4163,0.3914,0.379,0.0049,0.2234,0.7704,0.0122,0.7711,0.0115
rubert,sent_len_bin,sent,english,n/a,6,2935,0.4163,0.3914,0.3939,-0.0024,0.2464,0.7853,0.0081,0.7745,0.0118
rubert,sent_len_bin,sent,finnish,n/a,6,2695,0.4163,0.3914,0.3614,-0.0056,0.2287,0.7529,0.0104,0.7254,0.0154
rubert,sent_len_bin,sent,french,n/a,6,2187,0.4163,0.3914,0.3607,-0.0009,0.1799,0.7522,0.0075,0.7475,0.0068
rubert,sent_len_bin,sent,german,n/a,6,1504,0.4163,0.3914,0.3792,-0.0073,0.1779,0.7706,0.0177,0.7616,0.022
rubert,sent_len_bin,sent,hindi,n/a,6,322,0.4163,0.3914,0.3787,-0.0094,0.3096,0.7701,0.0225,0.7707,0.0244
rubert,sent_len_bin,sent,hungarian,n/a,6,217,0.4163,0.3914,0.4196,0.0323,1.0989,0.8111,0.006,0.7948,0.0145
rubert,sent_len_bin,sent,italian,n/a,6,1501,0.4163,0.3914,0.412,0.01,0.2691,0.8035,0.0195,0.7728,0.0214
rubert,sent_len_bin,sent,japonese,n/a,6,1320,0.4163,0.3914,0.3805,0.0045,0.2268,0.772,0.0124,0.7737,0.0093
rubert,sent_len_bin,sent,kazah,n/a,6,2276,0.4163,0.3914,0.3959,-0.0097,0.1993,0.7873,0.0086,0.7847,0.0091
rubert,sent_len_bin,sent,korean,n/a,6,2175,0.4163,0.3914,0.3934,0.0018,0.2361,0.7848,0.0114,0.7815,0.013
rubert,sent_len_bin,sent,norwegian,n/a,6,849,0.4163,0.3914,0.3636,-0.0106,0.3109,0.755,0.0209,0.7609,0.0207
rubert,sent_len_bin,sent,pushtu,n/a,6,293,0.4163,0.3914,0.4414,-0.0034,0.2221,0.8328,0.0167,0.8317,0.0163
rubert,sent_len_bin,sent,swedish,n/a,6,1888,0.4163,0.3914,0.3798,0.0037,0.0845,0.7712,0.0127,0.7766,0.0131
rubert,sent_len_bin,sent,thai,n/a,6,318,0.4163,0.3914,0.3035,0.0189,0.5167,0.695,0.0292,0.693,0.0291
rubert,sent_len_bin,sent,сzech,n/a,6,832,0.4163,0.3914,0.4596,0.0024,0.2444,0.851,0.0206,0.7149,0.018
rubert,sent_len_bin,sent,resource_high,high,6,19199,0.4163,0.3914,0.4254,-0.0025,0.0997,0.8169,0.0043,0.8156,0.0045
rubert,sent_len_bin,sent,resource_low,low,6,6284,0.4163,0.3914,0.3985,0.0035,0.2727,0.7899,0.002,0.783,0.0014
rubert,sent_len_bin,sent,arabic,n/a,7,1152,0.4163,0.3914,0.4028,-0.0165,0.2936,0.7943,0.0129,0.7888,0.0127
rubert,sent_len_bin,sent,bulgarian,n/a,7,758,0.4163,0.3914,0.3816,-0.0119,0.1556,0.7731,0.0134,0.7687,0.0099
rubert,sent_len_bin,sent,chinese,n/a,7,2261,0.4163,0.3914,0.3759,-0.0031,0.2234,0.7674,0.0056,0.7667,0.0042
rubert,sent_len_bin,sent,english,n/a,7,2935,0.4163,0.3914,0.4017,0.0078,0.2464,0.7932,0.0104,0.7835,0.011
rubert,sent_len_bin,sent,finnish,n/a,7,2695,0.4163,0.3914,0.3574,-0.0041,0.2287,0.7488,0.0119,0.7252,0.0238
rubert,sent_len_bin,sent,french,n/a,7,2187,0.4163,0.3914,0.3552,-0.0055,0.1799,0.7467,0.0186,0.7427,0.0157
rubert,sent_len_bin,sent,german,n/a,7,1504,0.4163,0.3914,0.3712,-0.008,0.1779,0.7626,0.0087,0.7552,0.0117
rubert,sent_len_bin,sent,hindi,n/a,7,322,0.4163,0.3914,0.3633,-0.0154,0.3096,0.7547,0.0224,0.7562,0.0176
rubert,sent_len_bin,sent,hungarian,n/a,7,217,0.4163,0.3914,0.3782,-0.0414,1.0989,0.7697,0.0115,0.7565,0.0177
rubert,sent_len_bin,sent,italian,n/a,7,1501,0.4163,0.3914,0.4154,0.0033,0.2691,0.8068,0.0263,0.7827,0.0294
rubert,sent_len_bin,sent,japonese,n/a,7,1320,0.4163,0.3914,0.376,-0.0045,0.2268,0.7674,0.0107,0.7694,0.009
rubert,sent_len_bin,sent,kazah,n/a,7,2276,0.4163,0.3914,0.3867,-0.0092,0.1993,0.7781,0.008,0.7765,0.0067
rubert,sent_len_bin,sent,korean,n/a,7,2175,0.4163,0.3914,0.3911,-0.0023,0.2361,0.7825,0.0052,0.7787,0.0061
rubert,sent_len_bin,sent,norwegian,n/a,7,849,0.4163,0.3914,0.3647,0.0012,0.3109,0.7562,0.0202,0.76,0.0207
rubert,sent_len_bin,sent,pushtu,n/a,7,293,0.4163,0.3914,0.4447,0.0033,0.2221,0.8361,0.0223,0.8389,0.0219
rubert,sent_len_bin,sent,swedish,n/a,7,1888,0.4163,0.3914,0.3766,-0.0032,0.0845,0.768,0.0148,0.774,0.0146
rubert,sent_len_bin,sent,thai,n/a,7,318,0.4163,0.3914,0.2972,-0.0063,0.5167,0.6887,0.0336,0.6861,0.0314
rubert,sent_len_bin,sent,сzech,n/a,7,832,0.4163,0.3914,0.4584,-0.0012,0.2444,0.8498,0.0265,0.7329,0.0388
rubert,sent_len_bin,sent,resource_high,high,7,19199,0.4163,0.3914,0.4264,0.001,0.0997,0.8179,0.0014,0.8175,0.0015
rubert,sent_len_bin,sent,resource_low,low,7,6284,0.4163,0.3914,0.3899,-0.0086,0.2727,0.7813,0.0053,0.7726,0.0042
rubert,sent_len_bin,sent,arabic,n/a,8,1152,0.4163,0.3914,0.4054,0.0026,0.2936,0.7969,0.0037,0.7889,0.0047
rubert,sent_len_bin,sent,bulgarian,n/a,8,758,0.4163,0.3914,0.3724,-0.0092,0.1556,0.7638,0.0275,0.759,0.0271
rubert,sent_len_bin,sent,chinese,n/a,8,2261,0.4163,0.3914,0.368,-0.008,0.2234,0.7594,0.0065,0.7587,0.0071
rubert,sent_len_bin,sent,english,n/a,8,2935,0.4163,0.3914,0.3942,-0.0075,0.2464,0.7857,0.0091,0.7782,0.0075
rubert,sent_len_bin,sent,finnish,n/a,8,2695,0.4163,0.3914,0.3674,0.01,0.2287,0.7588,0.0209,0.7337,0.0229
rubert,sent_len_bin,sent,french,n/a,8,2187,0.4163,0.3914,0.3534,-0.0018,0.1799,0.7449,0.003,0.7435,0.0018
rubert,sent_len_bin,sent,german,n/a,8,1504,0.4163,0.3914,0.3705,-0.0007,0.1779,0.762,0.0078,0.752,0.0069
rubert,sent_len_bin,sent,hindi,n/a,8,322,0.4163,0.3914,0.3508,-0.0125,0.3096,0.7423,0.0076,0.743,0.0063
rubert,sent_len_bin,sent,hungarian,n/a,8,217,0.4163,0.3914,0.3966,0.0184,1.0989,0.7881,0.0124,0.779,0.0154
rubert,sent_len_bin,sent,italian,n/a,8,1501,0.4163,0.3914,0.412,-0.0033,0.2691,0.8035,0.0195,0.7729,0.0193
rubert,sent_len_bin,sent,japonese,n/a,8,1320,0.4163,0.3914,0.3639,-0.0121,0.2268,0.7553,0.0137,0.7576,0.0101
rubert,sent_len_bin,sent,kazah,n/a,8,2276,0.4163,0.3914,0.3893,0.0026,0.1993,0.7808,0.0077,0.7791,0.0091
rubert,sent_len_bin,sent,korean,n/a,8,2175,0.4163,0.3914,0.3874,-0.0037,0.2361,0.7789,0.0085,0.7778,0.0071
rubert,sent_len_bin,sent,norwegian,n/a,8,849,0.4163,0.3914,0.34,-0.0247,0.3109,0.7314,0.0388,0.7366,0.0382
rubert,sent_len_bin,sent,pushtu,n/a,8,293,0.4163,0.3914,0.4311,-0.0136,0.2221,0.8225,0.0101,0.8263,0.0096
rubert,sent_len_bin,sent,swedish,n/a,8,1888,0.4163,0.3914,0.3766,-0.0,0.0845,0.768,0.0083,0.7742,0.0078
rubert,sent_len_bin,sent,thai,n/a,8,318,0.4163,0.3914,0.2941,-0.0031,0.5167,0.6855,0.0364,0.6787,0.0376
rubert,sent_len_bin,sent,сzech,n/a,8,832,0.4163,0.3914,0.4668,0.0084,0.2444,0.8582,0.0248,0.7312,0.0277
rubert,sent_len_bin,sent,resource_high,high,8,19199,0.4163,0.3914,0.4252,-0.0012,0.0997,0.8167,0.0011,0.8165,0.0013
rubert,sent_len_bin,sent,resource_low,low,8,6284,0.4163,0.3914,0.3869,-0.003,0.2727,0.7783,0.0062,0.7732,0.0072
rubert,sent_len_bin,sent,arabic,n/a,9,1152,0.4163,0.3914,0.408,0.0026,0.2936,0.7995,0.0128,0.7938,0.0136
rubert,sent_len_bin,sent,bulgarian,n/a,9,758,0.4163,0.3914,0.3539,-0.0185,0.1556,0.7454,0.0265,0.7397,0.0241
rubert,sent_len_bin,sent,chinese,n/a,9,2261,0.4163,0.3914,0.3715,0.0035,0.2234,0.7629,0.0014,0.7645,0.0016
rubert,sent_len_bin,sent,english,n/a,9,2935,0.4163,0.3914,0.3854,-0.0089,0.2464,0.7768,0.0101,0.7715,0.0101
rubert,sent_len_bin,sent,finnish,n/a,9,2695,0.4163,0.3914,0.3581,-0.0093,0.2287,0.7495,0.0182,0.7245,0.0218
rubert,sent_len_bin,sent,french,n/a,9,2187,0.4163,0.3914,0.3548,0.0014,0.1799,0.7462,0.0129,0.7441,0.011
rubert,sent_len_bin,sent,german,n/a,9,1504,0.4163,0.3914,0.3739,0.0033,0.1779,0.7653,0.0059,0.7558,0.0052
rubert,sent_len_bin,sent,hindi,n/a,9,322,0.4163,0.3914,0.3602,0.0093,0.3096,0.7516,0.0147,0.7518,0.0134
rubert,sent_len_bin,sent,hungarian,n/a,9,217,0.4163,0.3914,0.3597,-0.0369,1.0989,0.7511,0.0227,0.7409,0.0193
rubert,sent_len_bin,sent,italian,n/a,9,1501,0.4163,0.3914,0.406,-0.006,0.2691,0.7975,0.0113,0.762,0.0104
rubert,sent_len_bin,sent,japonese,n/a,9,1320,0.4163,0.3914,0.376,0.0121,0.2268,0.7674,0.0166,0.7697,0.0147
rubert,sent_len_bin,sent,kazah,n/a,9,2276,0.4163,0.3914,0.381,-0.0083,0.1993,0.7724,0.0113,0.7721,0.0082
