model,task,task_level,layer,n_items,majority,rand_acc,selectivity,delta,expected_layer,acc_mean,acc_std,f1_mean,f1_std,group,l1,prof_level,mode
rubert,sent_len_bin,sent,0,1650,0.4163,0.3914,0.3461,0.7376,0.25,0.7376,0.0104,0.7358,0.0122,A1,all,A1,pooled
rubert,sent_len_bin,sent,0,3632,0.4163,0.3914,0.3575,0.7489,0.1369,0.7489,0.0102,0.7549,0.0098,A2,all,A2,pooled
rubert,sent_len_bin,sent,0,6422,0.4163,0.3914,0.3717,0.7632,0.0988,0.7632,0.004,0.7659,0.0033,B1,all,B1,pooled
rubert,sent_len_bin,sent,0,7535,0.4163,0.3914,0.3816,0.7731,0.1981,0.7731,0.0068,0.7535,0.0061,B2,all,B2,pooled
rubert,sent_len_bin,sent,0,6244,0.4163,0.3914,0.3736,0.7651,0.181,0.7651,0.0035,0.7406,0.0043,C1,all,C1,pooled
rubert,sent_len_bin,sent,1,1650,0.4163,0.3914,0.357,0.0109,0.25,0.7485,0.0048,0.7463,0.0052,A1,all,A1,pooled
rubert,sent_len_bin,sent,1,3632,0.4163,0.3914,0.3553,-0.0022,0.1369,0.7467,0.0081,0.753,0.0081,A2,all,A2,pooled
rubert,sent_len_bin,sent,1,6422,0.4163,0.3914,0.3758,0.004,0.0988,0.7672,0.0045,0.7703,0.0038,B1,all,B1,pooled
rubert,sent_len_bin,sent,1,7535,0.4163,0.3914,0.3896,0.008,0.1981,0.781,0.003,0.7632,0.0045,B2,all,B2,pooled
rubert,sent_len_bin,sent,1,6244,0.4163,0.3914,0.3781,0.0045,0.181,0.7695,0.0085,0.7471,0.0088,C1,all,C1,pooled
rubert,sent_len_bin,sent,2,1650,0.4163,0.3914,0.3758,0.0188,0.25,0.7673,0.0065,0.764,0.0048,A1,all,A1,pooled
rubert,sent_len_bin,sent,2,3632,0.4163,0.3914,0.371,0.0157,0.1369,0.7624,0.0063,0.7684,0.0063,A2,all,A2,pooled
rubert,sent_len_bin,sent,2,6422,0.4163,0.3914,0.3762,0.0005,0.0988,0.7677,0.0026,0.7711,0.0022,B1,all,B1,pooled
rubert,sent_len_bin,sent,2,7535,0.4163,0.3914,0.3949,0.0053,0.1981,0.7863,0.0017,0.7689,0.0027,B2,all,B2,pooled
rubert,sent_len_bin,sent,2,6244,0.4163,0.3914,0.3928,0.0147,0.181,0.7843,0.0024,0.7642,0.0014,C1,all,C1,pooled
rubert,sent_len_bin,sent,3,1650,0.4163,0.3914,0.3746,-0.0012,0.25,0.7661,0.012,0.7638,0.0084,A1,all,A1,pooled
rubert,sent_len_bin,sent,3,3632,0.4163,0.3914,0.3789,0.008,0.1369,0.7704,0.0075,0.7763,0.0074,A2,all,A2,pooled
rubert,sent_len_bin,sent,3,6422,0.4163,0.3914,0.3832,0.007,0.0988,0.7747,0.0035,0.7779,0.0033,B1,all,B1,pooled
rubert,sent_len_bin,sent,3,7535,0.4163,0.3914,0.3999,0.005,0.1981,0.7914,0.0048,0.7752,0.0075,B2,all,B2,pooled
rubert,sent_len_bin,sent,3,6244,0.4163,0.3914,0.3951,0.0022,0.181,0.7865,0.0047,0.7662,0.0035,C1,all,C1,pooled
rubert,sent_len_bin,sent,4,1650,0.4163,0.3914,0.3916,0.017,0.25,0.783,0.007,0.7782,0.0094,A1,all,A1,pooled
rubert,sent_len_bin,sent,4,3632,0.4163,0.3914,0.382,0.003,0.1369,0.7734,0.0122,0.7791,0.0119,A2,all,A2,pooled
rubert,sent_len_bin,sent,4,6422,0.4163,0.3914,0.3823,-0.0009,0.0988,0.7737,0.0068,0.7769,0.0061,B1,all,B1,pooled
rubert,sent_len_bin,sent,4,7535,0.4163,0.3914,0.3993,-0.0007,0.1981,0.7907,0.0062,0.7757,0.0062,B2,all,B2,pooled
rubert,sent_len_bin,sent,4,6244,0.4163,0.3914,0.4015,0.0064,0.181,0.7929,0.0046,0.7712,0.004,C1,all,C1,pooled
rubert,sent_len_bin,sent,5,1650,0.4163,0.3914,0.3795,-0.0121,0.25,0.7709,0.0059,0.7677,0.0047,A1,all,A1,pooled
rubert,sent_len_bin,sent,5,3632,0.4163,0.3914,0.3776,-0.0044,0.1369,0.769,0.0066,0.7748,0.0064,A2,all,A2,pooled
rubert,sent_len_bin,sent,5,6422,0.4163,0.3914,0.3923,0.01,0.0988,0.7837,0.0063,0.7863,0.0054,B1,all,B1,pooled
rubert,sent_len_bin,sent,5,7535,0.4163,0.3914,0.4079,0.0086,0.1981,0.7993,0.0066,0.7838,0.0071,B2,all,B2,pooled
rubert,sent_len_bin,sent,5,6244,0.4163,0.3914,0.4085,0.007,0.181,0.8,0.0065,0.7782,0.0053,C1,all,C1,pooled
rubert,sent_len_bin,sent,6,1650,0.4163,0.3914,0.3861,0.0067,0.25,0.7776,0.0134,0.7755,0.0124,A1,all,A1,pooled
rubert,sent_len_bin,sent,6,3632,0.4163,0.3914,0.3842,0.0066,0.1369,0.7756,0.0047,0.7813,0.0047,A2,all,A2,pooled
rubert,sent_len_bin,sent,6,6422,0.4163,0.3914,0.389,-0.0033,0.0988,0.7804,0.0029,0.7834,0.0028,B1,all,B1,pooled
rubert,sent_len_bin,sent,6,7535,0.4163,0.3914,0.4043,-0.0036,0.1981,0.7958,0.0023,0.779,0.0047,B2,all,B2,pooled
rubert,sent_len_bin,sent,6,6244,0.4163,0.3914,0.4109,0.0024,0.181,0.8024,0.0108,0.7831,0.0102,C1,all,C1,pooled
rubert,sent_len_bin,sent,7,1650,0.4163,0.3914,0.3837,-0.0024,0.25,0.7752,0.0009,0.7719,0.0053,A1,all,A1,pooled
rubert,sent_len_bin,sent,7,3632,0.4163,0.3914,0.3765,-0.0077,0.1369,0.7679,0.0098,0.7741,0.0095,A2,all,A2,pooled
rubert,sent_len_bin,sent,7,6422,0.4163,0.3914,0.3822,-0.0069,0.0988,0.7736,0.0032,0.7766,0.0039,B1,all,B1,pooled
rubert,sent_len_bin,sent,7,7535,0.4163,0.3914,0.4058,0.0015,0.1981,0.7972,0.0053,0.7817,0.003,B2,all,B2,pooled
rubert,sent_len_bin,sent,7,6244,0.4163,0.3914,0.3962,-0.0147,0.181,0.7876,0.0062,0.7674,0.006,C1,all,C1,pooled
rubert,sent_len_bin,sent,8,1650,0.4163,0.3914,0.3837,0.0,0.25,0.7752,0.0009,0.7733,0.0044,A1,all,A1,pooled
rubert,sent_len_bin,sent,8,3632,0.4163,0.3914,0.3745,-0.0019,0.1369,0.766,0.0046,0.772,0.0042,A2,all,A2,pooled
rubert,sent_len_bin,sent,8,6422,0.4163,0.3914,0.38,-0.0022,0.0988,0.7714,0.0017,0.7755,0.0012,B1,all,B1,pooled
rubert,sent_len_bin,sent,8,7535,0.4163,0.3914,0.3929,-0.0129,0.1981,0.7843,0.0056,0.7664,0.0041,B2,all,B2,pooled
rubert,sent_len_bin,sent,8,6244,0.4163,0.3914,0.3968,0.0006,0.181,0.7883,0.009,0.769,0.0093,C1,all,C1,pooled
rubert,sent_len_bin,sent,9,1650,0.4163,0.3914,0.3825,-0.0012,0.25,0.7739,0.0084,0.7732,0.0053,A1,all,A1,pooled
rubert,sent_len_bin,sent,9,3632,0.4163,0.3914,0.369,-0.0055,0.1369,0.7605,0.0148,0.7665,0.0146,A2,all,A2,pooled
rubert,sent_len_bin,sent,9,6422,0.4163,0.3914,0.379,-0.0009,0.0988,0.7705,0.0061,0.7743,0.0058,B1,all,B1,pooled
rubert,sent_len_bin,sent,9,7535,0.4163,0.3914,0.3944,0.0015,0.1981,0.7858,0.0083,0.7671,0.0079,B2,all,B2,pooled
rubert,sent_len_bin,sent,9,6244,0.4163,0.3914,0.396,-0.0008,0.181,0.7875,0.0029,0.7678,0.0022,C1,all,C1,pooled
rubert,sent_len_bin,sent,10,1650,0.4163,0.3914,0.3867,0.0042,0.25,0.7782,0.0083,0.7726,0.009,A1,all,A1,pooled
rubert,sent_len_bin,sent,10,3632,0.4163,0.3914,0.3638,-0.0052,0.1369,0.7552,0.0063,0.7612,0.0061,A2,all,A2,pooled
rubert,sent_len_bin,sent,10,6422,0.4163,0.3914,0.3733,-0.0058,0.0988,0.7647,0.0056,0.7689,0.0055,B1,all,B1,pooled
rubert,sent_len_bin,sent,10,7535,0.4163,0.3914,0.3892,-0.0052,0.1981,0.7806,0.0078,0.7631,0.0078,B2,all,B2,pooled
rubert,sent_len_bin,sent,10,6244,0.4163,0.3914,0.3919,-0.0042,0.181,0.7833,0.0039,0.7657,0.0041,C1,all,C1,pooled
rubert,sent_len_bin,sent,11,1650,0.4163,0.3914,0.3746,-0.0121,0.25,0.7661,0.0082,0.7597,0.0117,A1,all,A1,pooled
rubert,sent_len_bin,sent,11,3632,0.4163,0.3914,0.3624,-0.0014,0.1369,0.7539,0.009,0.76,0.0087,A2,all,A2,pooled
rubert,sent_len_bin,sent,11,6422,0.4163,0.3914,0.3734,0.0002,0.0988,0.7649,0.0064,0.769,0.0066,B1,all,B1,pooled
rubert,sent_len_bin,sent,11,7535,0.4163,0.3914,0.3899,0.0007,0.1981,0.7813,0.0019,0.7626,0.0034,B2,all,B2,pooled
rubert,sent_len_bin,sent,11,6244,0.4163,0.3914,0.3941,0.0022,0.181,0.7856,0.0062,0.7689,0.0059,C1,all,C1,pooled
rubert,sent_len_bin,sent,12,1650,0.4163,0.3914,0.3546,-0.02,0.25,0.7461,0.0082,0.7376,0.0101,A1,all,A1,pooled
rubert,sent_len_bin,sent,12,3632,0.4163,0.3914,0.3533,-0.0091,0.1369,0.7448,0.0082,0.7515,0.008,A2,all,A2,pooled
rubert,sent_len_bin,sent,12,6422,0.4163,0.3914,0.3716,-0.0019,0.0988,0.763,0.0066,0.7673,0.0058,B1,all,B1,pooled
rubert,sent_len_bin,sent,12,7535,0.4163,0.3914,0.3942,0.0044,0.1981,0.7857,0.008,0.7708,0.0083,B2,all,B2,pooled
rubert,sent_len_bin,sent,12,6244,0.4163,0.3914,0.3898,-0.0043,0.181,0.7812,0.0037,0.7655,0.0046,C1,all,C1,pooled
rubert,sent_len_bin,sent,12,25483,0.4163,0.3914,0.0,0.0,-1.0,0.3914,0.0018,0.3199,0.0009,random_baseline,all,n/a,pooled
rubert,subj_position,sent,0,1650,0.6776,0.6698,0.1344,0.8042,0.1916,0.8042,0.0164,0.6876,0.0213,A1,all,A1,pooled
rubert,subj_position,sent,0,3632,0.6776,0.6698,0.0882,0.758,0.2368,0.758,0.0102,0.6311,0.0128,A2,all,A2,pooled
rubert,subj_position,sent,0,6422,0.6776,0.6698,0.0602,0.73,0.2867,0.73,0.0138,0.6187,0.0209,B1,all,B1,pooled
rubert,subj_position,sent,0,7535,0.6776,0.6698,0.0283,0.6981,0.3993,0.6981,0.0024,0.5647,0.0072,B2,all,B2,pooled
rubert,subj_position,sent,0,6244,0.6776,0.6698,0.0089,0.6787,0.4313,0.6787,0.0051,0.5715,0.0095,C1,all,C1,pooled
rubert,subj_position,sent,1,1650,0.6776,0.6698,0.1344,0.0,0.1916,0.8042,0.0174,0.6946,0.0136,A1,all,A1,pooled
rubert,subj_position,sent,1,3632,0.6776,0.6698,0.0862,-0.0019,0.2368,0.7561,0.0059,0.6321,0.0083,A2,all,A2,pooled
rubert,subj_position,sent,1,6422,0.6776,0.6698,0.0647,0.0045,0.2867,0.7345,0.0087,0.6256,0.0185,B1,all,B1,pooled
rubert,subj_position,sent,1,7535,0.6776,0.6698,0.0306,0.0024,0.3993,0.7005,0.0107,0.5682,0.0111,B2,all,B2,pooled
rubert,subj_position,sent,1,6244,0.6776,0.6698,0.0105,0.0016,0.4313,0.6803,0.0029,0.5767,0.0047,C1,all,C1,pooled
rubert,subj_position,sent,2,1650,0.6776,0.6698,0.1362,0.0018,0.1916,0.8061,0.0163,0.7005,0.0198,A1,all,A1,pooled
rubert,subj_position,sent,2,3632,0.6776,0.6698,0.0857,-0.0006,0.2368,0.7555,0.0106,0.6311,0.0072,A2,all,A2,pooled
rubert,subj_position,sent,2,6422,0.6776,0.6698,0.0753,0.0106,0.2867,0.7451,0.0069,0.6434,0.0068,B1,all,B1,pooled
rubert,subj_position,sent,2,7535,0.6776,0.6698,0.0383,0.0077,0.3993,0.7082,0.0055,0.5778,0.0053,B2,all,B2,pooled
rubert,subj_position,sent,2,6244,0.6776,0.6698,0.0285,0.0179,0.4313,0.6983,0.0011,0.602,0.0069,C1,all,C1,pooled
rubert,subj_position,sent,3,1650,0.6776,0.6698,0.1465,0.0103,0.1916,0.8164,0.0244,0.7071,0.0382,A1,all,A1,pooled
rubert,subj_position,sent,3,3632,0.6776,0.6698,0.0964,0.0107,0.2368,0.7662,0.0138,0.645,0.0122,A2,all,A2,pooled
rubert,subj_position,sent,3,6422,0.6776,0.6698,0.087,0.0117,0.2867,0.7568,0.0089,0.6549,0.0127,B1,all,B1,pooled
rubert,subj_position,sent,3,7535,0.6776,0.6698,0.064,0.0256,0.3993,0.7338,0.0057,0.6125,0.0129,B2,all,B2,pooled
rubert,subj_position,sent,3,6244,0.6776,0.6698,0.0491,0.0207,0.4313,0.7189,0.013,0.6213,0.0159,C1,all,C1,pooled
rubert,subj_position,sent,4,1650,0.6776,0.6698,0.1568,0.0103,0.1916,0.8267,0.0309,0.7236,0.0474,A1,all,A1,pooled
rubert,subj_position,sent,4,3632,0.6776,0.6698,0.1028,0.0063,0.2368,0.7726,0.0107,0.6571,0.016,A2,all,A2,pooled
rubert,subj_position,sent,4,6422,0.6776,0.6698,0.1069,0.0199,0.2867,0.7767,0.005,0.6859,0.0068,B1,all,B1,pooled
rubert,subj_position,sent,4,7535,0.6776,0.6698,0.0794,0.0154,0.3993,0.7492,0.001,0.635,0.0021,B2,all,B2,pooled
rubert,subj_position,sent,4,6244,0.6776,0.6698,0.064,0.0149,0.4313,0.7338,0.0081,0.6497,0.0096,C1,all,C1,pooled
rubert,subj_position,sent,5,1650,0.6776,0.6698,0.1605,0.0036,0.1916,0.8303,0.0202,0.7298,0.0308,A1,all,A1,pooled
rubert,subj_position,sent,5,3632,0.6776,0.6698,0.1182,0.0154,0.2368,0.788,0.0103,0.6805,0.0145,A2,all,A2,pooled
rubert,subj_position,sent,5,6422,0.6776,0.6698,0.1243,0.0174,0.2867,0.7941,0.004,0.7055,0.0095,B1,all,B1,pooled
rubert,subj_position,sent,5,7535,0.6776,0.6698,0.1022,0.0228,0.3993,0.772,0.0016,0.6707,0.0041,B2,all,B2,pooled
rubert,subj_position,sent,5,6244,0.6776,0.6698,0.0957,0.0317,0.4313,0.7655,0.0039,0.6899,0.0048,C1,all,C1,pooled
rubert,subj_position,sent,6,1650,0.6776,0.6698,0.1696,0.0091,0.1916,0.8394,0.0275,0.744,0.0404,A1,all,A1,pooled
rubert,subj_position,sent,6,3632,0.6776,0.6698,0.1256,0.0074,0.2368,0.7954,0.0102,0.6878,0.0182,A2,all,A2,pooled
rubert,subj_position,sent,6,6422,0.6776,0.6698,0.1214,-0.003,0.2867,0.7912,0.0031,0.7053,0.0079,B1,all,B1,pooled
rubert,subj_position,sent,6,7535,0.6776,0.6698,0.1089,0.0068,0.3993,0.7788,0.0043,0.6781,0.0103,B2,all,B2,pooled
rubert,subj_position,sent,6,6244,0.6776,0.6698,0.0973,0.0016,0.4313,0.7671,0.0043,0.6904,0.005,C1,all,C1,pooled
rubert,subj_position,sent,7,1650,0.6776,0.6698,0.1714,0.0018,0.1916,0.8412,0.0227,0.7486,0.0397,A1,all,A1,pooled
rubert,subj_position,sent,7,3632,0.6776,0.6698,0.1196,-0.0061,0.2368,0.7894,0.0125,0.6806,0.0206,A2,all,A2,pooled
rubert,subj_position,sent,7,6422,0.6776,0.6698,0.1161,-0.0053,0.2867,0.7859,0.0035,0.696,0.0066,B1,all,B1,pooled
rubert,subj_position,sent,7,7535,0.6776,0.6698,0.0994,-0.0096,0.3993,0.7692,0.0033,0.6688,0.0064,B2,all,B2,pooled
rubert,subj_position,sent,7,6244,0.6776,0.6698,0.084,-0.0133,0.4313,0.7538,0.0024,0.6749,0.0056,C1,all,C1,pooled
rubert,subj_position,sent,8,1650,0.6776,0.6698,0.1629,-0.0085,0.1916,0.8327,0.0245,0.7414,0.0387,A1,all,A1,pooled
rubert,subj_position,sent,8,3632,0.6776,0.6698,0.1174,-0.0022,0.2368,0.7872,0.0138,0.6815,0.0207,A2,all,A2,pooled
rubert,subj_position,sent,8,6422,0.6776,0.6698,0.1094,-0.0067,0.2867,0.7792,0.0021,0.69,0.0026,B1,all,B1,pooled
rubert,subj_position,sent,8,7535,0.6776,0.6698,0.0934,-0.006,0.3993,0.7632,0.0086,0.6588,0.012,B2,all,B2,pooled
rubert,subj_position,sent,8,6244,0.6776,0.6698,0.0701,-0.0139,0.4313,0.7399,0.0087,0.66,0.0158,C1,all,C1,pooled
rubert,subj_position,sent,9,1650,0.6776,0.6698,0.1629,0.0,0.1916,0.8327,0.0233,0.7412,0.0376,A1,all,A1,pooled
rubert,subj_position,sent,9,3632,0.6776,0.6698,0.1151,-0.0022,0.2368,0.785,0.0151,0.6797,0.0245,A2,all,A2,pooled
rubert,subj_position,sent,9,6422,0.6776,0.6698,0.0968,-0.0126,0.2867,0.7666,0.0052,0.6731,0.0079,B1,all,B1,pooled
rubert,subj_position,sent,9,7535,0.6776,0.6698,0.0849,-0.0085,0.3993,0.7547,0.0065,0.6494,0.0098,B2,all,B2,pooled
rubert,subj_position,sent,9,6244,0.6776,0.6698,0.0654,-0.0046,0.4313,0.7353,0.0054,0.6512,0.0066,C1,all,C1,pooled
rubert,subj_position,sent,10,1650,0.6776,0.6698,0.1496,-0.0133,0.1916,0.8194,0.0199,0.7199,0.0334,A1,all,A1,pooled
rubert,subj_position,sent,10,3632,0.6776,0.6698,0.1124,-0.0028,0.2368,0.7822,0.0145,0.6786,0.0188,A2,all,A2,pooled
rubert,subj_position,sent,10,6422,0.6776,0.6698,0.0877,-0.009,0.2867,0.7576,0.0093,0.6599,0.0108,B1,all,B1,pooled
rubert,subj_position,sent,10,7535,0.6776,0.6698,0.0722,-0.0127,0.3993,0.742,0.0049,0.6306,0.0082,B2,all,B2,pooled
rubert,subj_position,sent,10,6244,0.6776,0.6698,0.0557,-0.0098,0.4313,0.7255,0.0088,0.6404,0.0093,C1,all,C1,pooled
rubert,subj_position,sent,11,1650,0.6776,0.6698,0.1423,-0.0073,0.1916,0.8121,0.0227,0.7091,0.033,A1,all,A1,pooled
rubert,subj_position,sent,11,3632,0.6776,0.6698,0.0978,-0.0146,0.2368,0.7676,0.0157,0.655,0.0205,A2,all,A2,pooled
rubert,subj_position,sent,11,6422,0.6776,0.6698,0.0817,-0.0061,0.2867,0.7515,0.0025,0.6523,0.0065,B1,all,B1,pooled
rubert,subj_position,sent,11,7535,0.6776,0.6698,0.0655,-0.0066,0.3993,0.7354,0.0082,0.6202,0.0099,B2,all,B2,pooled
rubert,subj_position,sent,11,6244,0.6776,0.6698,0.0555,-0.0002,0.4313,0.7253,0.0019,0.6397,0.0015,C1,all,C1,pooled
rubert,subj_position,sent,12,1650,0.6776,0.6698,0.1362,-0.0061,0.1916,0.8061,0.0138,0.7001,0.0106,A1,all,A1,pooled
rubert,subj_position,sent,12,3632,0.6776,0.6698,0.0986,0.0008,0.2368,0.7684,0.0152,0.659,0.0214,A2,all,A2,pooled
rubert,subj_position,sent,12,6422,0.6776,0.6698,0.0807,-0.0009,0.2867,0.7505,0.0066,0.6472,0.0084,B1,all,B1,pooled
rubert,subj_position,sent,12,7535,0.6776,0.6698,0.0613,-0.0042,0.3993,0.7311,0.0066,0.6126,0.0104,B2,all,B2,pooled
rubert,subj_position,sent,12,6244,0.6776,0.6698,0.0558,0.0003,0.4313,0.7257,0.0034,0.6363,0.0062,C1,all,C1,pooled
rubert,subj_position,sent,12,25483,0.6776,0.6698,0.0,0.0,-1.0,0.6698,0.0012,0.278,0.0016,random_baseline,all,n/a,pooled
rubert,verb_position,sent,0,1650,0.6622,0.6456,0.0108,0.6564,0.5289,0.6564,0.0054,0.4242,0.0052,A1,all,A1,pooled
rubert,verb_position,sent,0,3632,0.6622,0.6456,-0.0088,0.6368,0.5039,0.6368,0.008,0.4353,0.018,A2,all,A2,pooled
rubert,verb_position,sent,0,6422,0.6622,0.6456,-0.0064,0.6392,0.5177,0.6392,0.0008,0.4318,0.0077,B1,all,B1,pooled
rubert,verb_position,sent,0,7535,0.6622,0.6456,-0.0226,0.623,0.2917,0.623,0.0036,0.4089,0.0071,B2,all,B2,pooled
rubert,verb_position,sent,0,6244,0.6622,0.6456,-0.0391,0.6065,0.4361,0.6065,0.0048,0.4039,0.0087,C1,all,C1,pooled
rubert,verb_position,sent,1,1650,0.6622,0.6456,0.0023,-0.0085,0.5289,0.6479,0.0124,0.4241,0.0092,A1,all,A1,pooled
rubert,verb_position,sent,1,3632,0.6622,0.6456,-0.0027,0.0061,0.5039,0.6429,0.0068,0.4457,0.0024,A2,all,A2,pooled
rubert,verb_position,sent,1,6422,0.6622,0.6456,-0.009,-0.0026,0.5177,0.6366,0.0043,0.4325,0.01,B1,all,B1,pooled
rubert,verb_position,sent,1,7535,0.6622,0.6456,-0.0127,0.01,0.2917,0.6329,0.0014,0.4206,0.0062,B2,all,B2,pooled
rubert,verb_position,sent,1,6244,0.6622,0.6456,-0.0394,-0.0003,0.4361,0.6062,0.0053,0.4081,0.0029,C1,all,C1,pooled
rubert,verb_position,sent,2,1650,0.6622,0.6456,-0.0008,-0.003,0.5289,0.6448,0.0048,0.4242,0.0116,A1,all,A1,pooled
rubert,verb_position,sent,2,3632,0.6622,0.6456,0.0094,0.0121,0.5039,0.655,0.0098,0.4573,0.0128,A2,all,A2,pooled
rubert,verb_position,sent,2,6422,0.6622,0.6456,0.0087,0.0178,0.5177,0.6543,0.0021,0.4495,0.01,B1,all,B1,pooled
rubert,verb_position,sent,2,7535,0.6622,0.6456,0.0028,0.0155,0.2917,0.6484,0.0048,0.4377,0.0102,B2,all,B2,pooled
rubert,verb_position,sent,2,6244,0.6622,0.6456,-0.0265,0.013,0.4361,0.6192,0.007,0.4277,0.004,C1,all,C1,pooled
rubert,verb_position,sent,3,1650,0.6622,0.6456,0.012,0.0127,0.5289,0.6576,0.0251,0.4321,0.0277,A1,all,A1,pooled
rubert,verb_position,sent,3,3632,0.6622,0.6456,0.0278,0.0184,0.5039,0.6735,0.0079,0.4762,0.0107,A2,all,A2,pooled
rubert,verb_position,sent,3,6422,0.6622,0.6456,0.0171,0.0084,0.5177,0.6627,0.0027,0.4687,0.0037,B1,all,B1,pooled
rubert,verb_position,sent,3,7535,0.6622,0.6456,0.0123,0.0094,0.2917,0.6579,0.0068,0.4613,0.0126,B2,all,B2,pooled
rubert,verb_position,sent,3,6244,0.6622,0.6456,-0.0122,0.0143,0.4361,0.6334,0.003,0.449,0.0054,C1,all,C1,pooled
rubert,verb_position,sent,4,1650,0.6622,0.6456,0.035,0.023,0.5289,0.6806,0.0245,0.4555,0.0093,A1,all,A1,pooled
rubert,verb_position,sent,4,3632,0.6622,0.6456,0.0278,0.0,0.5039,0.6735,0.0088,0.4706,0.0103,A2,all,A2,pooled
rubert,verb_position,sent,4,6422,0.6622,0.6456,0.0304,0.0132,0.5177,0.676,0.0042,0.4875,0.0058,B1,all,B1,pooled
rubert,verb_position,sent,4,7535,0.6622,0.6456,0.0193,0.007,0.2917,0.6649,0.0077,0.4747,0.0114,B2,all,B2,pooled
rubert,verb_position,sent,4,6244,0.6622,0.6456,0.0067,0.0189,0.4361,0.6523,0.0077,0.4753,0.0126,C1,all,C1,pooled
rubert,verb_position,sent,5,1650,0.6622,0.6456,0.0374,0.0024,0.5289,0.683,0.0073,0.4447,0.0138,A1,all,A1,pooled
rubert,verb_position,sent,5,3632,0.6622,0.6456,0.043,0.0151,0.5039,0.6886,0.0128,0.4929,0.0124,A2,all,A2,pooled
rubert,verb_position,sent,5,6422,0.6622,0.6456,0.0322,0.0019,0.5177,0.6778,0.0022,0.4884,0.0009,B1,all,B1,pooled
rubert,verb_position,sent,5,7535,0.6622,0.6456,0.0339,0.0146,0.2917,0.6795,0.0032,0.5006,0.0025,B2,all,B2,pooled
rubert,verb_position,sent,5,6244,0.6622,0.6456,0.0136,0.0069,0.4361,0.6592,0.0063,0.5019,0.014,C1,all,C1,pooled
rubert,verb_position,sent,6,1650,0.6622,0.6456,0.0435,0.0061,0.5289,0.6891,0.0097,0.4552,0.0293,A1,all,A1,pooled
rubert,verb_position,sent,6,3632,0.6622,0.6456,0.0411,-0.0019,0.5039,0.6867,0.0073,0.4916,0.0255,A2,all,A2,pooled
rubert,verb_position,sent,6,6422,0.6622,0.6456,0.0447,0.0125,0.5177,0.6903,0.0113,0.5049,0.0126,B1,all,B1,pooled
rubert,verb_position,sent,6,7535,0.6622,0.6456,0.0314,-0.0025,0.2917,0.677,0.0033,0.4967,0.0102,B2,all,B2,pooled
rubert,verb_position,sent,6,6244,0.6622,0.6456,0.0208,0.0072,0.4361,0.6664,0.008,0.5098,0.0175,C1,all,C1,pooled
rubert,verb_position,sent,7,1650,0.6622,0.6456,0.0314,-0.0121,0.5289,0.677,0.0181,0.4543,0.012,A1,all,A1,pooled
rubert,verb_position,sent,7,3632,0.6622,0.6456,0.0474,0.0063,0.5039,0.693,0.0058,0.4953,0.0187,A2,all,A2,pooled
rubert,verb_position,sent,7,6422,0.6622,0.6456,0.0406,-0.004,0.5177,0.6862,0.0081,0.4932,0.0066,B1,all,B1,pooled
rubert,verb_position,sent,7,7535,0.6622,0.6456,0.033,0.0016,0.2917,0.6786,0.0035,0.5056,0.0044,B2,all,B2,pooled
rubert,verb_position,sent,7,6244,0.6622,0.6456,0.027,0.0062,0.4361,0.6726,0.0057,0.5244,0.0106,C1,all,C1,pooled
rubert,verb_position,sent,8,1650,0.6622,0.6456,0.0417,0.0103,0.5289,0.6873,0.0015,0.4525,0.0126,A1,all,A1,pooled
rubert,verb_position,sent,8,3632,0.6622,0.6456,0.0438,-0.0036,0.5039,0.6894,0.0096,0.4933,0.0296,A2,all,A2,pooled
rubert,verb_position,sent,8,6422,0.6622,0.6456,0.0355,-0.0051,0.5177,0.6811,0.0103,0.5047,0.0081,B1,all,B1,pooled
rubert,verb_position,sent,8,7535,0.6622,0.6456,0.0273,-0.0057,0.2917,0.6729,0.0084,0.5022,0.0098,B2,all,B2,pooled
rubert,verb_position,sent,8,6244,0.6622,0.6456,0.0186,-0.0085,0.4361,0.6642,0.0074,0.5042,0.0177,C1,all,C1,pooled
rubert,verb_position,sent,9,1650,0.6622,0.6456,0.0186,-0.023,0.5289,0.6642,0.0031,0.4586,0.0096,A1,all,A1,pooled
rubert,verb_position,sent,9,3632,0.6622,0.6456,0.0317,-0.0121,0.5039,0.6773,0.0013,0.4803,0.0259,A2,all,A2,pooled
rubert,verb_position,sent,9,6422,0.6622,0.6456,0.0266,-0.0089,0.5177,0.6722,0.0026,0.4864,0.0034,B1,all,B1,pooled
rubert,verb_position,sent,9,7535,0.6622,0.6456,0.023,-0.0042,0.2917,0.6686,0.0064,0.4903,0.0084,B2,all,B2,pooled
rubert,verb_position,sent,9,6244,0.6622,0.6456,0.0121,-0.0064,0.4361,0.6578,0.0103,0.5058,0.0183,C1,all,C1,pooled
rubert,verb_position,sent,10,1650,0.6622,0.6456,0.0308,0.0121,0.5289,0.6764,0.0045,0.4621,0.0124,A1,all,A1,pooled
rubert,verb_position,sent,10,3632,0.6622,0.6456,0.0281,-0.0036,0.5039,0.6737,0.0077,0.4772,0.0243,A2,all,A2,pooled
rubert,verb_position,sent,10,6422,0.6622,0.6456,0.0252,-0.0014,0.5177,0.6708,0.0034,0.4768,0.0047,B1,all,B1,pooled
rubert,verb_position,sent,10,7535,0.6622,0.6456,0.0193,-0.0037,0.2917,0.6649,0.0045,0.4861,0.0005,B2,all,B2,pooled
